Skip,Rederi,Location,Type skip,Type opplag,Bilde,Flagg,Dato inn,Dato ut,Rederi Valgbokser,Sist oppdatert
Far Fosna,,"0.7249666, 104.1756",AHTS,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23124944/Far-Fosna.jpeg,NIS,2016-09-08,2017-03-02,Farstad,2017-03-06
Havila Mercury,,"62.34383, 5.689905",AHTS,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/11/22124526/Havila-Mercury.jpg,NOR,2016-11-22,2017-03-30,Havila,2017-04-03
Olympic Pegasus,Olympic,"58.34739, 11.89891",AHTS,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/11/10145754/OlympicPegasus.jpg,NOR,2016-11-10,2017-04-03,Olympic,2017-04-03
Olympic Poseidon,Olympic,"62.4745, 6.34609",AHTS,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/11/OlympicPoseidon.jpg,NOR,2015-11-11,2017-02-14,Olympic,2017-02-14
Olympic Commander,,"59.33371, 5.291273",PSV,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2017/01/18155914/Olympic-Commander.jpg,NOR,2017-01-12,2016-12-20,Olympic,2017-04-03
Olympic Hera,,"59.33349, 5.29226",Flerbruksskip,Solgt fra opplag,http://img1.maritime.no/wp-content/uploads/2017/01/19114449/Olympic-Hera.jpg,NOR,2017-01-06,,Olympic,2017-04-03
Normand Supplier (tidl. Rem Supplier),,"62.29889, 5.651933",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/12/12095430/Rem-Supplier.jpeg,Bahamas,2016-12-06,,Rem Offshore (nå Solstad),2016-12-12
Normand Provider (tidl. Rem Provider),,"62.29871, 5.650455",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/10/25170824/rem-provider.jpg,NOR,2016-10-12,,Rem Offshore (nå Solstad),2016-10-25
Normand Falnes (tidl. Rem Fortress),,"62.47989, 6.191164",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23111918/rem-fortress.jpg,NOR,2016-09-15,,Rem Offshore (nå Solstad),2016-09-23
Normand Supporter (tidl. Rem Supporter),,"62.49496 , 6.20738",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23112227/Rem-Supporter.jpg,NOR,2016-09-23,,Rem Offshore (nå Solstad),2016-09-23
Rem Stadt,Remøy Shipping,"62.34308, 5.629601",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/10/Rem_Stadt.png,NOR,2015-10-20,,Remøy Shipping,
Rem Star,Rem Offshore,"62.29882, 5.651747",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/Rem_Star_-_REM_Maritime.jpg,NOR,2015-05-11,,Rem Offshore (nå Solstad),
Normand Provider (tidl. Rem Provider),Rem Offshore,"62.29871, 5.650455",PSV,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/Rem_Provider_-_REM_Maritime.jpg,NOR,2015-03-11,,Rem Offshore (nå Solstad),
Normand Tonjer (tidl. Rem Vision),Rem Offshore ,"62.25148, 5.486863",Subsea,I opplag,http://www.maritime.no/wp-content/uploads/2015/05/REM-VISION1.jpg,NOR,,,Rem Offshore (nå Solstad),
Normand Sira (tidl. Rem Mermaid),,,PSV,Varslet opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23112615/Rem-mermaid.jpg,NOR,2016-10-14,,Rem Offshore (nå Solstad),
Bourbon Mistral,Bourbon Offshore,"62.0948715, 5.54909706",PSV,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Bourbon-Rainbow.jpg,NOR,2015-06-14,,Bourbon,2017-04-05
Nao Horizon,,"62.8168793, 6.90521717",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2017/04/05140018/NAO-Horizon.jpg,NOR,2017-04-03,,Nordic American Offshore,2017-04-04
Ocean Odyssey,,"61.938179, 5.1202879",Seismikk,I opplag,http://img1.maritime.no/wp-content/uploads/2017/04/05140425/Ocean-Odyssey.jpg,NIS,2017-04-04,,Remøy Shipping,2017-04-05
Normand Fortune (tidl. Rem Fortune),,"63.72941, 9.592465",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/10/31103318/Rem-Fortune.jpg,NOR,2016-10-31,2017-04-04,Rem Offshore (nå Solstad),2017-04-05
Far Statesman,Farstad,"62.44901, 6.277538",AHTS,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/10/far-statesman.jpeg,NOR,2017-01-12,2017-03-08,Farstad,2017-04-05
Far Scimitar,,"0.722755, 104.1659",AHTS,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23123352/far-scimitar.jpeg,Storbritannia,2016-09-15,2017-02-01,Farstad,2017-04-05
Stril Pioner,,"58.994, 5.6935",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/10/25134935/Stril-Pioner.jpg,NOR,2016-10-04,2017-04-04,Møkster,2017-04-05
Standard Viking (tidligere Volstad Viking),Volstad,"62.463, 6.158",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/11/VolstadViking.jpg,NOR,2016-11-07,2016-06-13,Volstad,2017-01-18
Island Crusader,,"62.35409, 6.083919",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/10/24094223/Island-Crusader.jpg,NOR,2016-10-12,2017-04-04,Island Offshore,2017-04-05
Island Endeavour,,"62.28543, 5.860195",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/10/25132327/Island-Endeavour.jpg,NOR,2016-10-18,2017-04-03,Island Offshore,2017-04-05
Island Spirit,Island Offshore,"62.33569, 5.850345",Subsea,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/IslandSpirit1.jpg,NIS,2015-11-07,2017-04-04,Island Offshore,2017-04-05
Siem Sapphire,Siem Offshore,"61.93029, 5.449902",AHTS,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/11/SiemSapphire.jpg,NOR,2015-11-03,2017-04-03,Siem Offshore,2017-04-05
Siem Ruby,Siem Offshore,"61.93108, 5.453053",AHTS,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/08/19122446/SiemRuby.jpg,NIS,2016-07-01,2017-04-04,Siem Offshore,2017-04-05
Normand Ocean (tidl. Rem Ocean),,"61.84893, 6.314242",Flerbruksskip,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2017/01/19111924/IMG_4285.jpg,NOR,2016-12-15,2017-04-03,Rem Offshore (nå Solstad),2017-04-05
Normand Jarl (tidl. Rem Installer),,"62.32133, 5.670967",Subsea,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/10/25170633/rem-installer.jpg,Bahamas,2016-10-18,2017-02-09,Rem Offshore (nå Solstad),2017-04-05
Island Express,Island Offshore,"62.33566, 5.850307",PSV,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/05/Island-Express1.jpg,NOR,2015-08-16,2017-04-03,Island Offshore,2017-04-05
Siem Aquamarine,Siem Offshore,"58.4958, 8.877862",AHTS,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Siem_Aquamarine_16706723597-400x2251.jpg,NOR,2015-05-11,2017-04-04,Siem Offshore,2017-04-04
Skandi Pacific,,"59.92507, 5.314422",AHTS,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2017/01/18155230/Skandi-Pacific.jpg,Bahamas,2016-10-13,2017-01-12,DOF,2017-04-05
Sea Titus,,"58.26131, 6.840941",PSV,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2016/12/12094436/Sea-Titus.jpg,Kypros,2016-12-12,2017-04-04,Deep Sea Supply,2017-04-04
normand baltic,,"1.303252, 103.6489",Subsea,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2017/01/20131726/Normand-Baltic.jpg,Storbritannia,2016-09-27,2017-04-03,Solstad,2017-04-03
Normand Skipper,Solstad,"59.33749, 5.297975",Beredskap,Ut av opplag,http://www.maritime.no/wp-content/uploads/2015/05/Normand-Skipper.jpg,NOR,2015-05-22,2017-04-04,Solstad,2017-04-03
Stril Server,,"58.99371, 5.693615",Subsea,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2017/01/18154808/Stril-Server.jpg,NIS,2017-01-12,2017-04-03,Møkster,2017-04-03
Ocean Scout,Atlantic Offshore,,PSV,,http://www.maritime.no/wp-content/uploads/2015/05/Ocean-Scout.jpg,NIS,2015-03-11,,Myklebusthaug,2016-08-18
Normand Server (tidl. Rem Server),,"62.49486, 6.206958",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2016/09/23112427/rem-server.jpg,NOR,2016-09-23,,Rem Offshore (nå Solstad),2016-09-23
Viking Poseidon,Eidesvik,"59.61124, 5.241685",Subsea,Solgt fra opplag,http://www.maritime.no/wp-content/uploads/2015/10/Viking-Poseidon.jpg,NOR,2015-10-07,2017-02-09,Eidesvik,2017-04-06
Evita,,"58.3567, 8.610935",PSV,I opplag,http://img1.maritime.no/wp-content/uploads/2017/04/06121808/Evita.jpeg,NOR,2017-04-04,,Ugland,2017-04-05
Olympic Bibby,,"62.08535, 6.875428",Flerbruksskip,Ut av opplag,http://img1.maritime.no/wp-content/uploads/2017/01/19114049/Olympic-Bibby.jpg,Bahamas,2017-01-06,2017-04-05,Olympic,2017-04-06
Island Constructor,,"62.58729, 6.920152",Subsea,Varslet ut av opplag,http://www.maritime.no/wp-content/uploads/2015/10/Skjermbilde-2015-10-21-kl.-09.56.54.png,NOR,2015-12-07,,Island Offshore,2017-01-18
