Rigid,Rigname,Type,Operatorcompany,From year,From month,From day,To year,To month,To day,Dayrate,Kommentarer,LastEditedOn,CreatedOn
1,Eirik Raude,Kontrakt,Anadarko,2012,1,,2012,5,,"$535,000",,6/17/2012 10:37:15,6/8/2012 8:55:53
1,Eirik Raude,Kontrakt,Ophir,2012,6,,2012,8,,"$648,000",,6/17/2012 10:40:02,6/8/2012 8:55:53
1,Eirik Raude,Avvik,Yard,2012,9,,2012,9,,$0,10 year SPS,9/11/2012 23:46:33,6/8/2012 8:55:53
1,Eirik Raude,Kontrakt,Africa Petroleum,2012,10,,2013,1,,"$625,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
1,Eirik Raude,Kontrakt,ExxonMobil,2013,2,,2013,9,,"$545,000",,6/18/2013 0:48:50,9/11/2012 23:42:13
1,Eirik Raude,Kontrakt,Lukoil,2013,10,,2014,11,,"$575,000",,8/11/2014 23:57:38,3/7/2013 1:41:54
1,Eirik Raude,Kontrakt,Premier Oil,2015,1,,2016,1,,"$630,000",,2/27/2015 1:36:54,8/11/2014 23:54:04
1,Eirik Raude,Avvik,Stacked,2016,2,,2020,1,,$0,,7/28/2015 2:33:46,2/27/2015 1:36:33
2,Energy Endevaour,Kontrakt,Maersk Oil,2011,4,,2013,5,,"$100,000",,2/19/2013 23:53:57,6/8/2012 8:55:53
2,Energy Endevaour,Kontrakt,ADTI,2013,6,,2013,7,,"$155,000",,2/19/2013 23:52:46,2/19/2013 23:51:23
2,Energy Endevaour,Kontrakt,Wintershall,2013,10,,2014,11,,"$160,000",,3/7/2014 1:54:08,12/13/2013 3:12:01
2,Energy Endevaour,Avvik,IDLE,2015,1,,2020,1,,$0,Contract terminated,9/14/2015 2:42:57,8/13/2014 23:35:16
3,Ensco 70,Kontrakt,RWE Dea,2013,1,,2013,8,,"$80,000",Plus five 1-well unpriced options,6/20/2013 4:39:32,6/8/2012 8:55:53
3,Ensco 70,Avvik,Yard,2013,9,,2014,3,,$0,,12/10/2013 4:48:05,1/8/2013 1:34:22
3,Ensco 70,Kontrakt,RWE Dea,2014,4,,2014,10,,"$140,000",,3/7/2014 1:29:10,6/20/2013 4:48:13
3,Ensco 70,Kontrakt,Maersk Oil,2014,11,,2015,2,,"$160,000",,3/18/2015 1:17:13,12/10/2013 4:49:05
3,Ensco 70,Avvik,Cold stacked,2015,2,,2020,1,,$0,Contract terminated,8/4/2015 2:05:50,3/18/2015 1:16:40
4,Ensco 71,Kontrakt,Maersk Oil,2012,1,,2015,5,,"$170,000",Plus two 1-year options,1/15/2015 3:18:23,6/8/2012 8:55:53
4,Ensco 71,Avvik,Yard,2015,6,,2015,6,,,Plannend inspection,3/18/2015 1:18:53,3/18/2015 1:18:28
4,Ensco 71,Kontrakt,Maersk Oil,2015,7,,2018,6,,"$225,000",,7/21/2015 4:51:39,7/21/2015 4:50:35
5,GSF Monarch,Kontrakt,Maersk Oil,2011,7,,2013,6,,"$94,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
5,GSF Monarch,Kontrakt,GDF Suez,2013,9,,2015,4,,"$160,000",,4/24/2015 1:57:54,4/19/2013 3:45:02
5,GSF Monarch,Avvik,Stacked,2015,6,,2020,1,,$0,,8/31/2015 5:49:32,7/21/2015 5:11:38
6,Maersk Resolve,Kontrakt,DONG,2012,3,,2012,5,,Private,Day rate is private,6/12/2012 2:29:49,6/8/2012 8:55:53
6,Maersk Resolve,Kontrakt,ConocoPhillips,2012,6,,2012,12,,Private,Day rate is private,1/8/2013 4:39:08,6/8/2012 8:55:53
6,Maersk Resolve,Kontrakt,EON Ruhrgas,2013,1,,2013,7,,Private,Day rate is private,6/21/2013 2:36:16,6/8/2012 8:55:53
6,Maersk Resolve,Kontrakt,DONG,2013,8,,2014,4,,Private,,3/7/2014 1:42:58,6/8/2012 8:55:53
6,Maersk Resolve,Avvik,Yard,2014,5,,2014,5,,$0,,6/21/2013 2:38:25,6/21/2013 2:37:01
6,Maersk Resolve,Kontrakt,DONG,2014,6,,2016,9,,Private,Day rate is private,8/12/2014 0:39:47,6/8/2012 8:55:53
6,Maersk Resolve,Avvik,Stacked,2016,10,,2020,1,,$0,,,
7,Paragon C20052,Kontrakt,Chevron,2011,6,,2012,5,,"$89,000",,7/21/2015 5:51:59,6/8/2012 8:55:53
7,Paragon C20052,Avvik,Yard,2012,6,,2012,6,,$0,,7/21/2015 5:52:25,6/8/2012 8:55:53
7,Paragon C20052,Kontrakt,Centrica,2012,7,,2012,9,,"$91,000",,6/8/2012 8:55:53,6/8/2012 8:55:53
7,Paragon C20052,Kontrakt,Centrica,2012,10,,2013,1,,"$122,000",,11/2/2012 1:36:19,6/8/2012 8:55:53
7,Paragon C20052,Avvik,Yard,2013,3,,2013,5,,$0,,6/21/2013 3:56:39,11/2/2012 1:36:23
7,Paragon C20052,Kontrakt,Centrica,2013,6,,2014,4,,"$122,000",,6/21/2013 3:56:44,11/2/2012 1:36:58
7,Paragon C20052,Kontrakt,Dana Petroleum,2014,5,,2015,1,,"$180,000",,8/12/2014 2:43:01,3/7/2014 1:45:11
7,Paragon C20052,Kontrakt,Dana Petroleum,2015,2,,2015,2,,"$160,000",,2/20/2015 4:11:16,2/20/2015 4:07:32
7,Paragon C20052,Kontrakt,Petrogas,2015,9,,2015,11,,"$170,000",,3/4/2015 5:59:15,2/20/2015 4:11:26
7,Paragon C20052,Avvik,IDLE,2015,3,,2015,6,,$0,,3/18/2015 4:05:05,3/4/2015 5:58:04
7,Paragon C20052,Kontrakt,Tulip Oil,2015,7,,2015,8,,"$145,000",,3/18/2015 4:05:13,3/18/2015 4:03:46
7,Paragon C20052,Kontrakt,Petrogas,2015,10,,2016,1,,"$170,000",,,
7,Paragon C20052,Kontrakt,Petrogas,2016,2,,2016,2,,"$145,000",,,
7,Paragon C20052,Avvik,IDLE,2016,3,,2020,1,,$0,,,
8,Ocean Guardian,Avvik,Yard,2012,3,15,2012,7 ,10,$0,,6/8/2012 8:55:53,6/8/2012 8:55:53
8,Ocean Guardian,Kontrakt,Shell,2012,6,,2014,6,10,"$263,000",Plus 1-year option,3/7/2014 0:54:22,6/8/2012 8:55:53
8,Ocean Guardian,Kontrakt,Shell,2014,7,,2015,8,,"$350,000",,8/31/2015 5:40:18,3/7/2013 0:47:59
8,Ocean Guardian,Avvik,IDLE,2015,9,,2016,4,,$0,,8/31/2015 5:40:40,8/31/2015 5:40:22
8,Ocean Guardian,Kontrakt,Dana Petroleum,2016,5,,2017,4,,"$220,000",,,
9,Maersk Resolute,Kontrakt,Total,2012,2,,2012,9,,Private,Day rate is private,6/12/2012 2:29:44,6/8/2012 8:55:53
9,Maersk Resolute,Avvik,Yard,2012,9,,2012,10,,$0,Upgrade,6/21/2013 2:37:28,6/8/2012 8:55:53
9,Maersk Resolute,Kontrakt,Hess,2012,11,,2016,4,,Private,Day rate is private,7/21/2015 5:47:40,6/8/2012 8:55:53
9,Maersk Resolute,Avvik,Stacked,2016,5,,2017,6,,$0,,,
9,Maersk Resolute,Kontrakt,Petrogas E&P Netherlands,2017,7,,2017,9,,NA,,,
10,Paragon C20051,Kontrakt,Total,2011,12,,2012,9,,"$101,000",,7/21/2015 6:02:39,6/8/2012 8:55:53
10,Paragon C20051,Kontrakt,Total,2012,10,,2014,5,,"$154,000",,6/21/2013 3:55:33,6/21/2013 3:54:56
10,Paragon C20051,Kontrakt,Total,2014,6,,2015,12,,"$125,000",,12/11/2013 3:55:42,12/11/2013 3:54:53
10,Paragon C20051,Kontrakt,Total,2016,1,,2016,5,,"$135,000",,,
10,Paragon C20051,Avvik,Stacked,2016,6,,2020,1,,$0,,,
11,Paragon C461,Kontrakt,GDF,2012,1,,2012,5,,"$105,000",,3/18/2015 6:54:37,6/8/2012 8:55:53
11,Paragon C461,Kontrakt,GDF,2012,6,,2013,2,,"$118,000",,3/18/2015 6:54:34,6/8/2012 8:55:53
11,Paragon C461,Kontrakt,Dana Petroleum,2013,3,,2013,5,,"$118,000",,3/18/2015 6:54:34,1/8/2013 5:01:24
11,Paragon C461,Kontrakt,Dana Petroleum,2013,6,,2013,9,,"$125,000",,3/18/2015 6:54:32,6/8/2012 8:55:53
11,Paragon C461,Kontrakt,Dana Petroleum,2013,10,,2014,1,,"$130,000",,3/18/2015 6:54:32,6/8/2012 8:55:53
11,Paragon C461,Kontrakt,Taqa,2014,2,,2015,2,,"$160,000",,3/18/2015 6:54:31,10/5/2012 4:57:24
11,Paragon C461,Kontrakt,One,2015,3,,2016,8,,"$170,000",,7/21/2015 6:29:25,3/18/2015 6:53:12
11,Paragon C461,Kontrakt,Tulip Oil,2016,9,,2016,9,,"$68,000",,,
11,Paragon C461,Kontrakt,One,2016,10,,2017,12,,"$113,000",,,
