 , , , , ,Rig information,,,,,Rig Ratings,,Contract information,,,Vessel particulars,,,,,,,,,Vessel particulars continued,,,,,,,Lifting equipment,,,,,Drilling equipment,,,,,,,,,,,,Mud systems,,,,,,,,Riser & Riser tensioner data,,,,,,,BOP & BOP control data,,,,,,,,,Landing facilities,, , ,  , , 
 , ,  , , ,Vessel type,Vessel design,Construction date,Upgrade date,Classification,Maximum water depth rating,Maximum drilling depth,Status,Current contract,Area of operations,Total vessel power,Maximum vessel speed(transit speed),Quarters capacity,Length,Width,Transit draft,Operation draft,Maximum variable load (operating/survival),Moonpool size (ft. X ft),Thrusters (No. And H.P),Size of chain,Chain grade,Length of chain,Wire rope diameter,Length of wire rope,Anchor size (No x M.T),Pedestal crane 1,Pedestal crane 2,Pedestal crane 3,Pedestal crane 4,Riser handling crane,Derrick rating,Derrick manufacturer,Derrick footprint (ft.  X ft. X ft),Drawworks,Drawworks,Drill line size,Rotary table size,Iron roughneck,Top drive,Heave compensator(motion compensator),Heave compensator capacity (operating/pinned)),Pipe racking system,Mud pumps,Mud Pumps,Liquid Mud,Fuel Oil,Bulk storage capacity (mud/cement or total),Shale shakers,Desander,Desilter,Riser tensioner(total capacity),Riser tensioners,Riser tensioners,Diverter size,Riser size,Riser joint length,Riser manufacturer,BOP Operating pressure,C&K line size,Ram BOP's,Ram BOP's,Annular BOP's,Annular BOP's,Wellhead connector,BOP control system,BOP control system,Helideck (type),Helideck size (ft. x ft.),Imagebase,Caption image,Rig Information,Last Edited On,Created On
Rigid,Rig,Owner,Leaseholder, Current Status, , ,Yr.,Yr.,society,ft.,ft., ,expiration (Yr./month, ,H.P,knots,persons,ft.,ft.,ft.,ft.,M.T. , , ,In., ,ft.,in.,ft., ,M.T.,M.T.,M.T.,M.T.,M.T.,Max Hook kips,Name, ,H.P.,Manufacturer,In.,In.,Manufacturer & Model,Manufacturer & Model,Manufacturer,Kips ,Model,No.,Manufacturer & Model,bbls.,bbls.,Cu. ft.  ,No.,No.,No.,kips, ,Manufacturer,In.,O.D. In.,ft.,Manuf.,Ksi ,I.D. In.,No.,Manuf.,No.,Manuf.,Type,Type,Manuf., , , , , ,2/7/2014 0:10:55,1/24/2014 3:44:13
20,Maersk Inspirer,Maersk Drilling,Statoil,Aktiv,JU,MSC CJ 70-150MC,2004,,DNV,492,"30,000",Active,2016/01,Norway,"14,644",4,120,291,336,26.2,,/8900,,,"2,2""",,3281,,,,45,45,45,,,2000,WQ,210x46x52,4600,Varco,"1,75""","49,5""",NOV AR4500,NOV TDS-8SA,,,NOV PRS 6is,4,3xWirth TPK 2200 & 1xWirth TPK 800,"6,793","11,183",8829/7059,6,,2,1100,8,,"49,5""",,,Aker,15,"3,06""",4,Shaffer,1,Shaffer,,MUX,Shaffer,Sikorsky S-61N,74x74,"MaerskInspirer-1.jpg, MaerskInspirer-2.jpg, MaerskInspirer-3.jpg",jackup,,2/7/2014 0:06:37,1/24/2014 3:59:25
21,Maersk Reacher,Maersk Drilling,BP,Aktiv,JU,MSC CJ50-X100 MC,2009,,ABS,350,"30,000",Active,2014/09,Norway,"10,700",,110,229,223,,,/4500,,,,,,,,,49,49,,,,1500,MH,210x45x45,4500,Wirth GH,"1,75""","49,5""",MH Torque Master,MH DDM-750-AC,,,,3,Wirth TPK-2200 triplex,"6,290","3,400",10550/7050,4,,,660,4,,"49,5""",,,,15,,4,Hydril,1,Hydril,,,Hydril,Sikorsky S-61N & EH-101,94x94,"MaerskReacher-1.jpg, MaerskReacher-2.jpg, MaerskReacher-3.jpg",jackup,,2/7/2014 0:06:33,1/24/2014 4:06:58
22,Rowan Stavanger,Rowan Drilling,Talisman Norway,Aktiv,JU,KFELS Class N,2011,,DNV,400,"35,000",Active,2013/12,UK,,,120,264,289,,,"8,065",,,,,,,,,31,31,31,,,2200,NOV,180x40x40,4600,NOV,"2""","49,5""",Wellquip JiM20 ,NOV HPS 03-1000,,,,3,NOV 14-P-220,"7,220","5,535",8825/ 7060,5,,,,,,"49,5""",,,,15,"3,0625""",2,Shaffer,1,Shaffer,,,,Sikorsky S-61 & S-92,-,"RowanStavanger-1.jpg, RowanStavanger-2.jpg, RowanStavanger-3.jpg",jackup,,4/15/2015 3:55:09,6/8/2012 7:37:29
23,West Elara,Seadrill,Statoil,Aktiv,JU,Gusto MSC CJ70-X150A,2011,,DNV+1A1,492,"35,000",Active,2017/03,Norway,"18,550",,120,291,319,26.2,,/12000,,,"2""",,,,,4x8,85,85,85,,3.5,2500,TTS Sense,160x40x45,3000,TTS Sense,"2""","60,5""",Wellquip JIM 20,TTS Sense TD 1150 AC-2M,,,TTS Sense,3,Wirth TPK - 2200,"5,370","12,830",11124/8052,2,,,883,,,"49,5""",,,,15,,4,Hydril,1,Hydril,,Hydraulic,Hydril,-,-,"WestElara-1.jpg, WestElara-2.jpg, WestElara-3.jpg",jackup,,2/7/2014 0:25:00,6/8/2012 7:37:29
24,West Epsilon,Seadrill,Statoil,Aktiv,JU,MSC CJ62 S120,1993,1996/1999/2001/2002,DNV+1A1,400,"30,000",Active,2014/12,Norway,"8,450",,115,257,296,,,/3350,,,"2""",,3100,,,,50,50,34,,,2000,MH,160x40x40,3000,CE,,"49,5""",TW-102,NOV TDS-6S,,,,3, Continental Emsco FC-2200,"5,350",,9200/6400,4,,,,,,,,,,15,,6,Cameron & Shaffer,2,Cameron & Shaffer,,,Koomey,-,-,"WestEpsilon-1.jpg, WestEpsilon-2.jpg, WestEpsilon-3.jpg",jackup,,2/7/2014 0:25:00,6/8/2012 7:37:29
25,Bideford Dolphin,Dolphin Drilling,Statoil,Aktiv,SS,Aker H-3 Enhanced,1975,1997/1999,DNV+1A1,"1,500","20,000",Active,2017/01,Norway,"8,800",4,100,355,221,60,70,/3400,19x20,2x,"3""",K4,4500,,,8x14,40,50,,,,1300,MH Ram Rig/Aker,,3000,Continental Emsco,"1,5""","49,5""",,MH DDM-650,MH Ram Rig/Aker,,,3,Continental Emsco FB-1600,"6,600",,11047/11047,,,,800,8,Rucker Shaffer,"23""","20,5""",,Vetco,10,,4,Cameron,2,Shaffer,Cameron Collet,,Hydril,-,-,"Bideford-1.jpg, Bideford-2.jpg, Bideford-3.jpg",semisubmersible,,3/7/2014 4:31:12,6/8/2012 7:37:29
26,Borgland Dolphin,Dolphin Drilling,Rig Management Norway,Aktiv,SS,Aker H-3 Enhanced,1977,1998/1999,DNV+1A1,"1,500","20,000",Active,2017/9,Norway,"8,800",5,100,355,221,60,,/3150,,2x1675,"3""",,5741,,,"8x13,6",35,63,,,,1300,MH Ram Rig/Aker,,,MH Ram Rig,,"49,5""",,MH DDM-650,MH Ram Rig/Aker,,,3,NOV 12-P-160,"1,509",,8750/8750,,,,800,8,MH,"21""",,,,15,,1,Shaffer,,,,,Hydril,-,-,"Borgland-1.png, Borgland-2.png, Borgland-3.png",semisubmersible,,3/7/2014 0:33:57,6/8/2012 7:37:29
27,Bredford Dolphin,Dolphin Drilling ,Consortium,Aktiv,SS,Aker H-3 Enhanced,1976,2007,DNV+1A1,"1,500","7,500",Active,2016/02,Norway,,1-2,97,355,221,,70,/3400,19x39,2x1702,"3""",K4,4000,,,8x12,35,35,,,,1000,Continental Emsco,185x40x40,2400,Gardner Denver,"1,5""","49,5""",,NOV TDS-4S,NOV,,,3,Gardner Denver PZ-11,"1,565",,8680/8680,3,,,800,8,Rucker Shaffer,"23""","21""",,Cameron,10,,1,Shaffer,,,Vetco H4,,Koomey,-,-,"Bredford-1.jpg, Bredford-2.jpg, Bredford-3.jpg",semisubmersible,,3/10/2014 11:48:53,6/8/2012 7:37:29
28,COSLPioneer,COSL Drilling Europe,Statoil,Aktiv,SS,Global Maritime GM 4000,2010,,DNV+1A1,"2,500","25,000",Active,2016/8,Norway,"41,094",10,120,343,213,30.2,58.2,3000/4000,23x72,6x4289,"3,5""",,,,,,80,80,,,,1300,NOV/Nymo,160x35x35,4600,NOV,,"60,5""",NOV MPT-200,NOV HSP 650-E-AC-SG,,,NOV hydraracker HR-III-XY,3,NOV HEX 240,"5,619","20,178",8476/8476,5,,,970,,NOV,,"21""",50,NOV,15,"3""",5,Shaffer,1,Shaffer,Vetco HD-H4,,,-,73x73,"COSLPioner-1.jpg, COSLPioner-2.JPG, COSLPioner-3.JPG",semisubmersible,,3/7/2014 0:27:40,1/24/2014 3:53:14
29,Deepsea Atlantic,Odfjell Drilling,Statoil,Aktiv,SS,Gotaverken Enhanced GVA 7500,2009,,DNV+1A1,"10,000","37,500",Active,2014/08,Norway,"59,000",6-7,158 (128 NCS),308.3,256,"32,6",75.5,7500/7500,,4x5460,"3,3""",R5,,,,,100,85,,,2x20,2000,NOV,,4600,NOV,"1,75""","60,5""/49,5""",NOV MPT,NOV HPS-1000-2E-AT-KT,,,,4,National 14-P220,"10,064","19,550",21900/9890,6,,24,3200,6,NOV,"60,5""","21""",,Shaffer,15,"3,06""",4,Cameron,1,Cameron,Drillquip DX-DW,MUX,Cameron,-,-,"DeepseaAtlantic-1.JPG, DeepseaAtlantic-2.jpg, DeepseaAtlantic-3.jpg",semisubmersible,,2/7/2014 2:59:41,6/8/2012 7:37:29
