 , , ,Key information,,,,,Investments,,,Frame agreement,,,,,,Field development,,,,Subsea development,,,,,,,,, Drilling wells,,,Remaining oil and gas reserves,,,,Total reserves estimate,,,,Export technology,,,Destination,,,Helicopter,,,Supply base,Statistics,,,,,,,,, ,, , , , , , , ,Extra,TEMP_Top reservoir depth, , 
Field name,Activity status,Operator,Discovery,On stream,Prod. license,"Location (NS, NOS, BS)",Water depth (m),Total,So far in 2010,Remaining inv.,M&M,M&M contract expires,ISO,ISO contract expires,Drilling and well,Drilling and well contract expires,Production vessel/structure,Production/Drilling/Quarters,Material,Additional info,Subsea company,Subsea template,Total trees,FMC,AKS,GE,CAM,Subsea tieback,Tieback distance (km),Exploration,Development,Top reservoir depth,Oil (Sm3),Oil barrels (bbl),At current oil price,Gas (Sm3),Oil (Sm3),Gas (Sm3),Condensate (Sm3),NGL (mt),Oil,Gas,Condensate,Oil,Gas,Condensate,Flight service,Flight base,Offshore based,Supply base,Top water depth,Top investments,Top remaining investments,Top oil discovery,Top gas discovery,Top remaining oil reserves,Top remaining gas reserves,Top remaining condensate reserves,Top remaining NGL reserves,Field information,Captionimage,Imagebase,Source,NPDID owner,NPDID field,NPDID wellbore,NPDID company,Lastupdated,Investment details,From,Last Edited,Created On
PEIK,FUTURE PROJECTS,Lundin Norway,1985,,88,NS (M),120,,,,,,,,,,To be announced,,,,,,0,,,,,Heimdal/Brucefeltet,,,,"4,500","600,000","3,774,000","434,010,000","2,000,000,000","600,000","2,000,000,000",,,,,,,,,,,,,73,NA,NA,104,78,87,50,NA,NA,"Peik(24/6-1) ligger på begge sider av grensen mellom norsk og britisk sektor, omtrent 18 km vest for Heimdal og like nordvest for Alvheimfeltet. Reservoaret inneholder gass og kondensat under høyt trykk. Funnet er planlagt bygget ut med en havbunninnretning knyttet til Heimdal eller til Brucefeltet på britisk side.",To be announced,,,,,,,,,,12/19/2013 13:15:38,6/8/2012 18:47:57
PEON,FUTURE PROJECTS,Statoil,2005,,318,NS (N),372,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,580,,0,0,"19,500,000,000",,"19,500,000,000",,,,,,,,,,,,,13,NA,NA,NA,31,NA,20,NA,NA,Peon(35/2-1) ligger omtrent 75 km nordøst for Snorre og Visund. Det grunne reservoaret innebærer lavt trykk og utfordringer med å bore brønner. Rettighetshaverne boret en avgrensingsbrønn i 2009 og evaluerer nå mulige utbyggingsløsninger,To be announced,,,,,,,,,,5/21/2013 15:33:05,6/8/2012 18:47:57
SIGRUN,FUTURE PROJECTS,Statoil,1981,2012,"025, 187",NS (M),110,"2,016,000,000",0,"2,016,000,000",,,,,,,Subsea template,,Steel,,,,0,,,,,Gudrun,10,,,"3,800","1,900,000","11,951,000","1,374,365,000","1,600,000,000","1,900,000","1,600,000,000",,"200,000",,,,,,,,,,,90,106,53,94,86,70,54,NA,65,Sigrun(15/3-4) ligger omtrent 10 km sørøst for Gudrunfeltet. Den planlagte utbyggingsløsningen er en havbunnsramme knyttet til Gudrun,Subsea template,,,,,,,,,,5/30/2013 14:52:00,6/8/2012 18:47:57
SKARFJELL,FUTURE PROJECTS,Wintershall,2012,,418,NS (N),368,,,,,,,,,,To be announced,,,,,,0,,,,,,,1,,,"17,500,000","110,075,000","12,658,625,000",,"17,500,000",,,,,,,,,,,,,,20,NA,NA,42,NA,16,NA,NA,NA,"Skarfjell er lokalisert i den nordlige delen av nordsjøen. Området byr på mange muligheter for utbyggingsløsninger med funn som Astero, Grosbeak og Titan, og nå altså Skarfjell. I tillegg er Gjøa-plattformen bygget med kapasitet til å ta imot tilknytninger, dersom det skulle bli aktuelt. Wintershall melder at Skarfjell har potensial til bli et ""knutepunkt"" i området. Det kan bety en selvstendig utbygging. Wintershall trenger avgrensningsbrønner for å avgjøre om ytterligere oppside og om funnet er kommersielt.",To be announced,,,5442509,,,,,,,5/30/2013 14:55:43,6/8/2012 18:47:57
SMØRBUKK SØR EXTENSION,FUTURE PROJECTS,Statoil,1985,2015,94,NOS,,"3,500,000,000",0,"3,500,000,000",,,,,,,To be announced,,,,,,,,,,,,,,,,"2,600,000","16,354,000","1,880,710,000",,"2,600,000",,,,,,,,,,,,,,NA,87,44,90,NA,67,NA,NA,NA,"Smørbukk Sør Extension er lokalisert i Norskehavet og er en del av Åsgard-feltet. Prospektet et såkalt IOR (Increased Oil Recovery) prosjekt som består av en to-grens oljeproduserende brønn, en gassinjeksjonsbrønn og en ny havbunnsramme med plass for framtidige brønner. Rammen skal kobles opp mot eksisterende infrastruktur i området.",,,,,,,,,,,5/30/2013 13:14:49,3/20/2013 20:10:20
TITAN,FUTURE PROJECTS,RWE-DEA,2010,2015,420,NS (N),380,,,,,,,,,,To be announced,,,,,,0,,,,,,,,,"2,900","2,600,000","16,354,000","1,880,710,000","1,100,000,000","2,600,000","1,100,000,000",,"100,000",,,,,,,,,,,7,NA,NA,90,92,67,62,NA,73,Titan-prospektet(34/8-13 A) ligger omtrent 16 km vest for Gjøa-feltet. Funnet ble gjort ved boring med Bredford Dolphin semisub. Ledig kapasitet på Gjøa-plattformen gjør at Titan-funnet kan komme relativt raskt i produksjon. Titan kan bygges ut med en brønn boret fra Visund-A-innretningen og senere med en tilleggsbrønn fra Visund Nord-havbunninnretning. Planlagt produksjonsstart er tidlig 2015.,To be announced,,,,,,,,,,5/21/2013 15:29:11,6/8/2012 18:47:57
TRESTAKK,FUTURE PROJECTS,Statoil,1986,,091,NOS,300,,,,,,,,,,To be announced,,,,,,,,,,,,,,,3885,"7,700,000","48,433,000","5,569,795,000","1,900,000,000","7,700,000","1,900,000,000",,"500,000",,,,,,,,,,,35,NA,NA,64,82,38,51,NA,55,"Trestakk ble funnet i 1986 og påviste olje. Funnet ble avgrenset med brønn 6406/3-4 i 1987. Funnet ligger i Norskehavet, rett sør for Åsgardfeltet. Den mest sannsynlige utbyggingsløsningen er havbunnrrammer knyttet til felles infrastruktur med Maria.",,,,,,,,,,,5/30/2013 12:53:30,4/26/2013 12:36:40
ZIDANE,FUTURE PROJECTS,RWE-DEA,2010,2017,435,NOS,400,,,,,,,,,,Subsea template,,Steel,,,,0,,,,,Heidrun,15,,4,"4,530","17,400,000","109,446,000","12,586,290,000","17,400,000",,"17,400,000","500,000","200,000",,Pipeline,,,,,,,,,6,NA,NA,43,113,18,93,15,65,"Zidane(6507/7-14 S) består av to separate strukturer: Zidane øst og Zidane vest. Zidane øst ble påvist i 2010. Funnet er lokalisert omtrent 15 km nordvest for Heidrunfeltet i Norskehavet. Zidane vest ligger omtrent 3,5 km vest for Zidane øst. Zidane øst er estimert til å inneholde mellom 5 og 18 milliarder standard kubikkmeter med utvinnbar gass. Zidane vest mellom 4 og 13 milliarder kubikkmeter.  Havbunnrammer knyttet til Heidrun-plattformen er den mest sannsynlege utbyggingsløsingen. Det er planlagt å levere PUD til myndighetene i 2014. Planlagt produksjonsstart for feltet er i 2017.",,,,,,,,,,,2/24/2014 16:28:33,6/29/2012 10:49:59
AASTA HANSTEEN,PDO APPROVED,Statoil,1997,2017,"VØRING AREA, 218",NOS,1300,"34,272,000,000",0,"34,272,000,000",,,,,,,Spar platform,,Steel,FED contract Technip,Aker Solutions / FMC,,0,,,,,,,,,"3,000",,0,0,"45,400,000,000",,"45,400,000,000","900,000",,,Pipeline (NSGI),,,Nyhamna,,,,,,1,20,5,NA,16,NA,7,14,NA,"Aasta Hansteen(tidligere Luva, 6707/10-1) ligger omtrent 320 km vest for Bodø. To brønner som ble boret i 2008 i nærheten, 6707/10-2S og 6706/12-1, påviste mer gassressurser som kan bli knyttet til en felles utbygging. Aasta Hansteen vil bli bygget ut med et flytende feltsenter og blir den første Spar-plattformen i Norge. Aasta Hansteen kan bli feltsenter for andre fremtidige funn i samme område. Det store havdypet gir store tekniske utfordringer med tanke på utbygging. <br><br><strong>Tidstabell for feltet:</strong><br>2012 Q1: Luva døpes Aasta Hansteen<br>2012 Q4: Innlevering av PUD <br>2013 Q2: PUD godkjent<br>2017 Q3: Planlagt produksjonsstart",Spar platform,"aasta-hansteen-2.jpg, aasta-hansteen-1.jpg, aasta-hansteen-3.jpg",,22556,23395946,3075,17237817,,,,8/30/2013 5:54:48,6/8/2012 18:47:51
BRYNHILD,PDO APPROVED,Lundin Norway,1992,2013,148,NS (M),80,"5,200,000,000","211,680,000","4,988,320,000",,,,,,,Subsea template,,Steel,,Aker Solutions,4,3,,3,,,Pierce FPSO(UK),38,3,3,"3,300","3,600,000","22,644,000","2,604,060,000",0,"3,600,000",0,0,0,Pipeline/Oil Tanker,,,,,,,,,,113,73,34,81,114,58,94,24,79,"Brynhild(7/7-2), tidligere Nemo, ble oppdaget i 1992, og ble avgrenset med flere brønner i 1993 og 2008. Funnet ligger 43 km nordvest for Ulainnretningen. Utbyggingsløsningen blir en havbunnsramme med fire brønner knyttet opp mot Hæwene Brim FPSO på piercefeltet for prosessering. <br><br><strong>Tidstabell for feltet:</strong><br>2011 Q3: Innlevering av PUD <br>2011 Q4: PUD godkjent<br>2014 Q2: Planlagt produksjonsstart",Subsea template,Brynhild-1.jpg,,21996,21123063,1868,2767314,20.02.2012,,,2/21/2014 9:15:36,6/8/2012 18:47:57
