 , , ,Key information,,,,,Investments,,,Frame agreement,,,,,,Field development,,,,Subsea development,,,,,,,,, Drilling wells,,,Remaining oil and gas reserves,,,,Total reserves estimate,,,,Export technology,,,Destination,,,Helicopter,,,Supply base,Statistics,,,,,,,,, ,, , , , , , , ,Extra,TEMP_Top reservoir depth, , 
Field name,Activity status,Operator,Discovery,On stream,Prod. license,"Location (NS, NOS, BS)",Water depth (m),Total,So far in 2010,Remaining inv.,M&M,M&M contract expires,ISO,ISO contract expires,Drilling and well,Drilling and well contract expires,Production vessel/structure,Production/Drilling/Quarters,Material,Additional info,Subsea company,Subsea template,Total trees,FMC,AKS,GE,CAM,Subsea tieback,Tieback distance (km),Exploration,Development,Top reservoir depth,Oil (Sm3),Oil barrels (bbl),At current oil price,Gas (Sm3),Oil (Sm3),Gas (Sm3),Condensate (Sm3),NGL (mt),Oil,Gas,Condensate,Oil,Gas,Condensate,Flight service,Flight base,Offshore based,Supply base,Top water depth,Top investments,Top remaining investments,Top oil discovery,Top gas discovery,Top remaining oil reserves,Top remaining gas reserves,Top remaining condensate reserves,Top remaining NGL reserves,Field information,Captionimage,Imagebase,Source,NPDID owner,NPDID field,NPDID wellbore,NPDID company,Lastupdated,Investment details,From,Last Edited,Created On
GAUPE,PRODUCING,BG Norge,1985,2012,292,NS (S),90,"2,721,600,000","2,106,216,000","615,384,000",,,,,,,Subsea template,,Steel,Gaupe Sør and Nord,,,2,,,,2,Armada (UK),6.3,2,2,"3,000","100,000","629,000","72,335,000","300,000,000","200,000","500,000,000",0,0,Pipeline,Pipeline,Pipeline,Armanda Platform,Teesside,,,,,,108,99,64,112,101,97,77,24,79,Gaupe-feltet(tidligere Pi) tilhører utvinningstillatelse 292 og ligger like ved grensen mot britisk sokkel. Gaupe er koblet til Armada plattformen på britisk sokkel og produksjon startet i 2012.,Subsea template,,,2407572,18161341,450,2747354,,,,4/15/2013 15:33:03,6/8/2012 18:47:57
GIMLE,PRODUCING,Statoil,2004,2006,GIMLE UNIT,NS (N),220,"907,200,000","858,390,000","48,810,000",,,,,,,Subsea template,,Steel,,,,0,,,,,Gullfaks C,7,3,1,"2,900","400,000","2,516,000","289,340,000","1,000,000,000","3,000,000","1,400,000,000",0,"300,000",Oil tanker,Pipeline,,NA,Kårstø,,,,,Sotra & Florø,50,111,97,86,89,92,64,24,62,Gimle er et lite oljefelt som ligger i den nordlege delen av Nordsjøen. Feltet er knyttet opp til Gullfaks C ­innretningen med to produksjonsbrønner og en vanninjeksjonsbrønn boret fra Gullfaks C.,Subsea template,,,4007192,4005142,4902,17237817,,,,4/26/2013 9:54:36,6/8/2012 18:47:57
GJØA,PRODUCING,GDF SUEZ E&P Norge,1989,2010,153,NS (N),360,"32,961,600,000","29,594,262,000","3,367,338,000",Fabricom,2017,,,,,Semi-submersible,PDQ,Steel,,FMC,5,11,11,,,,,,5,25,"2,200","6,400,000","40,256,000","4,629,440,000","27,800,000,000","11,600,000","32,700,000,000",0,"8,700,000",Pipeline,Pipeline,,Mongstad,St.Fergus(GB),,HSL,Florø,,Florø,22,23,45,55,20,42,14,24,11,Gjøa ligger omtrent 40 km nord for Framfeltet. Utbyggingen omfatter fem havbunnrammer som er knyttet til en halvt nedsenkbar produksjons­ og prosessinnretning. Gjøa­innretningen får kraftforsyning fra land.,Semi-submersible,"Gjoa-2.jpg, Gjoa-3.jpg, Gjoa-1.jpg",,22036,4467574,1441,5267845,,,,5/13/2013 13:58:56,6/8/2012 18:47:57
GRANE,PRODUCING,Statoil,1991,2003,GRANE UNIT,NS (M),128,"29,030,400,000","22,673,585,000","6,356,815,000",Reinertsen,2015,Beerenberg Corp,,Odfjell Drilling,2016,Fixed platform,PDQ,Steel,,,,0,,,,,,,4,98,"1,700","36,100,000","227,069,000","26,112,935,000",0,"124,600,000",0,0,0,Pipeline,,,Stureterminalen,,,HSL/BSH,Flesland,,Mongstad,68,29,30,12,114,7,94,24,79,"Oljefeltet Grane ligger øst for Balder, i den midtre delen av Nordsjøen. Feltet er bygget ut med en inte­grert bosted­, bore­ og prosessinnretning med bunnfast stålunderstell. Innretningen har 40 brønnslisser.",Fixed platform,"Grane-1.jpg, Grane-2.jpg, Grane-3.jpg, Grane-4.jpg",,1031365,1035937,1872,17237817,,,,4/19/2013 9:59:05,6/8/2012 18:47:57
GULLFAKS,PRODUCING,Statoil,1978,1986,50,NS (N),220,"149,385,600,000","124,581,321,000","24,804,279,000",Aker Solutions,2016,Beerenberg Corp,,KCA Deutag,2016,Fixed platform,PDQ,Concrete,"Gullfaks A, B, C",,,8,8,,,,,,31,245,"2,000","11,600,000","72,964,000","8,390,860,000",0,"365,500,000","23,100,000,000",0,"2,800,000",Oil tanker,Pipeline,,NA,Kårstø,,HSL/BSH,Flesland,,Sotra & Saga fjordbase(Florø),50,3,10,4,29,34,94,24,23,"Gullfaks er et oljefelt som ligger i Tampenområdet i den nordlege delen av Nordsjøen. Feltet er bygget ut med tre integrerte prosess­, bore­ og bostedinnretninger med understell av betong og dekkramme av stål, Gullfaks A, B og C. Gull­faks B har et forenklet prosessanlegg med bare forstestegsseparasjon. Gullfaks A og C tar imot og behandler olje og gass frå Gullfaks Sør og Gimle. I tillegg blir innretningene brukt i produksjon og transport fra Tordis, Vigdis og Visund. Produksjonen fra Tordis blir behandlet i et eget anlegg på Gullfaks C.",Fixed platform concrete,"GullfaksA-1.jpg, GullfaksB-2.jpg, GullfaksC-3.jpg",,21188,43686,424,17237817,,,"1,700",11/25/2013 8:36:37,6/8/2012 18:47:57
GULLFAKS SØR,PRODUCING,Statoil,1978,1998,50,NS (N),136,"43,948,800,000","34,468,936,000","9,479,864,000",Aker Solutions,2016,Beerenberg Corp,,KCA Deutag,2016,Subsea template,,Steel,,FMC,12,37,37,,,,Gullfaks C and A,14,27,78,"3,400","16,600,000","104,414,000","12,007,610,000","32,100,000,000","58,800,000","65,100,000,000",0,"9,200,000",Pipeline (Gullfaks A),Pipeline (Gullfaks C),,NA,Kårstø,,,,,Sotra & Saga fjordbase(Florø),63,15,21,21,12,21,11,24,10,Gullfaks Sør ligger rett sør for Gullfaks i den nordlege delen av Nordsjøen. Feltet er bygget ut med til sammen 12 havbunnrammer som er knyttet til innretningene Gullfaks A og Gullfaks C.,Subsea template,Gullfaks Soer-1.jpg,,21188,43699,425,17237817,,,"2,400",11/25/2013 8:36:39,6/8/2012 18:47:57
GUNGNE,PRODUCING,Statoil,1982,1996,46,NS (M),83,"2,318,400,000","2,274,850,000","43,550,000",,,,,,,Subsea template,,Steel,,,,0,,,,,Sleipner A,7,2,4,"2,800",0,0,0,"1,300,000,000",0,"15,200,000,000","4,700,000","2,200,000",,Pipeline,NA,,Zeebrugge,NA,,,,Dusavik,110,104,99,114,37,100,57,7,27,"Gungne er et lite gasskondensatfelt som ligger i Sleipner­området, i den midtre delen av Nordsjøen. Gungne blir produsert gjennom tre brønner som er boret fra Sleipner A.",Subsea template,"Gungne-1.jpg, Gungne-2.jpg",,21156,43464,74,17237817,,,,4/26/2013 9:55:54,6/8/2012 18:47:57
GYDA,PRODUCING,Talisman North Sea,1980,1990,019 B,NS (S),66,"17,841,600,000","17,738,798,000","102,802,000",Aker Solutions,2014,Sørco,,Archer,2011,Fixed platform,PDQ,Steel,,,,0,,,,,,,6,56,"4,000","900,000","5,661,000","651,015,000","500,000,000","36,500,000","6,700,000,000",0,"2,000,000",Pipeline,Pipeline,,Teesside,Emden,,,,,Tananger,135,45,87,26,58,80,73,24,30,"Gyda er et oljefelt som ligger mellom Ula og Ekofisk, i den sørlege delen av Nordsjøen. Feltet er bygget ut med en kombinert bore­, bosted­ og prosessinnretning med stål­understell.",Fixed platform,"Gyda-1.jpg, Gyda-2.jpg",,20924,43492,251,2425093,,,,4/19/2013 10:07:07,6/8/2012 18:47:57
HEIDRUN,PRODUCING,Statoil,1985,1995,HEIDRUN UNIT,NOS,350,"79,531,200,000","69,006,877,000","10,524,323,000",Reinertsen,2015,Linjebygg AS,,Odfjell Drilling,2016,Tension leg platform (TLP),PDQ,Concrete,,FMC,2,19,19,,,,,,11,134,"2,300","40,100,000","252,229,000","29,006,335,000","31,300,000,000","182,100,000","46,500,000,000",0,"2,200,000",Oil tanker,Pipeline,,Mongstad/Tetney(GB),Kårstø,,HSL,Kvernberget,,Vestbase AS(Kristiansund),24,12,19,8,15,5,12,24,27,Heidrun ligger på Haltenbanken i Norskehavet. Feltet er bygget ut med en flytende strekkstag­innretning i betong over en havbunnramme med 56 brønnslisser. Den nordlege delen av feltet blir produsert via havbunninnretninger.,Tension leg platform (TLP),"Heidrun-1.jpg, Heidrun-2.jpg, Heidrun-3.jpg",,40490,43771,464,17237817,,,,5/13/2013 14:09:20,6/8/2012 18:47:57
HEIMDAL,PRODUCING,Statoil,1972,1985,036 BS,NS (M),120,"21,571,200,000","21,152,217,000","418,983,000",Reinertsen,2015,BIS Industrier,,,,Fixed platform,PDQ,Steel,"Bygve and Skirne (ST), ",,,0,,,,,,,3,12,"2,100","1,600,000","10,064,000","1,157,360,000","1,700,000,000","8,200,000","46,900,000,000",0,0,NA,Pipeline,,NA,Brae(GB),,HSL/BSH,Flesland,,Mongstad,73,37,70,63,14,73,53,24,79,"Heimdal er et gassfelt i den midtre delen av Nordsjøen. Feltet er bygget ut med en integrert bore-­, produksjons-­ og bostedinnretning med stålunderstell (HMP1). Heimdal er primært et prosessenter for andre tilknyttede felt. Feltene Huldra, Skirne og Vale leverer gass til Heimdal, og i tillegg blir gass fra Oseberg transportert over Heimdal.",Fixed platform,"Heimdal-1.jpg, Heimdal-2.jpg",,2473189,43590,359,17237817,,,,5/13/2013 14:09:43,6/8/2012 18:47:57
HOD,PRODUCING,BP Norge,1974,1990,33,NS (S),72,"3,024,000,000","3,022,880,000","1,120,000",Aker Solutions,2014,BIS Industrier,2014,,,Fixed platform,P,Steel,Remotely operated from Valhall,,,0,,,,,Valhall,13,7,18,"2,700","900,000","5,661,000","651,015,000","200,000,000","10,400,000","1,800,000,000",0,"400,000",Pipeline,Pipeline,,Teesside,Emden,,,,,Tananger,121,95,105,57,84,80,81,24,60,Hod er et oljefelt som ligger 13 km sør for Valhallfeltet i den sørlege delen av Nordsjøen. Feltet er bygget ut med en produksjonsinnretning som blir fjernstyrt fra Valhall. I tillegg produserer feltet gjennom brønner boret fra Valhall.,Fixed platform,"Hod-1.jpg, Hod-2.jpg",,21052,43485,285,2052695,,,,4/19/2013 10:08:52,6/8/2012 18:47:57
HULDRA,PRODUCING,Statoil,1982,2001,HULDRA UNIT,NS (N),125,"9,273,600,000","9,100,303,000","173,297,000",Aibel,2016,BIS Industrier,,,,Fixed platform,P,Steel,,,,0,,,,,Heimdal,140,5,6,"3,900",0,0,0,"700,000,000","5,100,000","17,500,000,000",0,"100,000",NA,NA,,NA,NA,,HSL/BSH,Flesland,,Sotra & Florø,71,57,80,74,33,100,68,24,73,"Huldra er et gasskondensatfelt som ligger nord for Oseberg i den nordlege delen av Nordsjøen. Feltet er bygget ut med en brønnhodeinnretning i stål med et enkelt prosessanlegg. Innretningen er normalt ubemannet og blir fjernstyrt fra Veslefrikk B, 16 km unna.",Fixed platform,"Huldra-1.jpg, Huldra-2.jpg, Huldra-3.jpg, Huldra-4.jpg",,41189,97002,72,17237817,,,"3,500",11/25/2013 8:36:51,6/8/2012 18:47:57
HYME,PRODUCING,Statoil,2009,2013,348,NOS,260,"4,536,000,000","904,176,000","3,631,824,000",,,,,,,Subsea template,,Steel,,FMC,1,0,0,,,,Njord A,19,2,4,"2,150","3,200,000","20,128,000","2,314,720,000","500,000,000","3,200,000","500,000,000",0,"200,000",,,,,,,,,,,46,78,43,85,101,62,73,24,65,"Hyme(PL348), tidligere kalt Gygrid, ligger i Norskehavet mellom feltene Draugen og Njord. Hyme var den fjerde hurtigutbyggingen til Statoil som ble levert til Olje- og energidepartementet i 2011. Utbyggingsløsningen er en undervannsutbygging med tilknytning til Njord-feltet. Hyme startet, som planlagt, produksjon i slutten av februar 2013.",Subsea template,"Hyme-1.jpg, Hyme-2.jpg",,2987047,20474183,6110,17237817,,,,4/24/2013 13:44:25,6/8/2012 18:47:57
ISLAY,PRODUCING,Total E&P,2008,2012,043 CS,NS (M),120,"782,792,000","582,792,000",,,,,,,,Subsea template,,Steel,,,,0,,,,,Alwyn facility (UK),6,,,"3,900",0,0,0,"100,000,000",0,"100,000,000",0,0,,,,,,,,,,,73,113,NA,114,109,100,84,24,79,"Islay ligger i midtlinjen i Nordsjøen. Feltet er utbygget som en subsea tieback til the Alwyn facility i britisk sektor, og produksjon startet i April 2012",Subsea template,,,18116800,21105675,0,2747820,,,,5/6/2013 10:45:41,6/8/2012 18:47:57
JETTE,PRODUCING,Det Norske Oljeselskap,2009,2013,"JETTE UNIT(027 D, 169 C, 504)",NS (M),127,"2,620,800,000","265,104,000","2,355,696,000",,,,,,,Subsea template,,Steel,,,4,6,,,,6,Jotun,6,2,3,"2,000","1,500,000","9,435,000","1,085,025,000","100,000,000","1,500,000","100,000,000",0,0,,,,,,,,,,,69,101,51,97,109,74,84,24,79,"Jette(tildigere Jetta) er et olje- og gassfunn i den sørlige delen av Nordsjøen, 6 km sør for Jotunfeltet. Jette-feltet er bygget ut som en undervannsinstallasjon knyttet opp til Jotun B. <br><br><strong>Tidstabell for feltet:</strong><br>2011 Q3: Innlevering av PUD <br>2012 Q1: PUD godkjent<br>2013 Q2: Produksjonsstart",Subsea template,,,21077388,21613906,6185,17342870,,,,6/26/2013 15:16:51,6/8/2012 18:47:57
JOTUN,PRODUCING,ExxonMobil,1994,1999,JOTUN UNIT,NS (M),126,"12,499,200,000","12,159,510,000","339,690,000",,,,,KCA Deutag,,Fixed platform,P,Steel,FPSO (Jotun B),,,0,,,,,,,7,36,"2,000","700,000","4,403,000","506,345,000","200,000,000","23,400,000","1,100,000,000",0,0,Oil tanker,Pipeline,,NA,Karstø,,HSL,Sola,,Dusavik,70,50,75,36,92,85,81,24,79,"Jotun er et oljefelt som ligger omtrent 25 km nord for Balder, i den midtre delen av Nordsjøen. Feltet er bygget ut med et bosted­, produksjons­ og lagerskip, «Jotun A» (FPSO), og en brønnhodeinnretning, Jotun B. Jotun er integrert med Balder, og prosesserer i tillegg gass fra Balder og olje fra reservoaret.",Fixed platform,"Jotun-1.jpg, Jotun-2.jpg, Jotun-3.jpg",http://www.exxonmobil.com/Norway-English/PA/Files/AarsBrosjyre2011_en.pdf,40655,43604,2390,2835212,,,,4/26/2013 9:54:45,6/8/2012 18:47:57
KRISTIN,PRODUCING,Statoil,1997,2005,HALTENBANKEN VEST UNIT,NOS,370,"31,953,600,000","27,964,825,000","3,988,775,000",Aibel,2016,Kaefer Energy,,,,Semi-submersible,PQ,Steel,,Aker Solutions,1,13,,13,,,,,4,17,"4,600","6,000,000","37,740,000","4,340,100,000","9,700,000,000","22,900,000","28,700,000,000","2,100,000","6,300,000",Oil tanker,Pipeline,,NA,Karstø,Halten Blend,HSL,Kvernberget,,Vestbase AS(Kristiansund),14,24,42,37,23,45,25,11,15,"Kristin er et gasskondensatfelt i Norskehavet som er bygget ut med et havbunnanlegg med fire rammer og en halvt nedsenkbar innretning for prosessering, Kristin Semi. Det er lagt til rette for å fase inn og prosessere andre forekomster i området på Kristin. Tyrihans er knyttet opp til Kristin og startet produksjonen i 2009.",Semi-submersible,"Kristin-1.jpg, Kristin-2.jpg, Kristin-3.jpg",,1854695,1854729,2849,17237817,,,,11/25/2013 8:37:03,6/8/2012 18:47:57
KVITEBJØRN,PRODUCING,Statoil,1994,2004,193,NS (N),190,"21,268,800,000","15,673,585,000","5,595,215,000",Fabricom,2014,Beerenberg Corp,,KCA Deutag,,Fixed platform,PDQ,Steel,,,,0,,,,,,,2,17,"4,000","9,800,000","61,642,000","7,088,830,000","49,800,000,000","27,300,000","89,100,000,000",0,"11,500,000",NA,Pipeline,Pipeline,NA,Kollsnes,Mongstad,BSH,Flesland,,Florø,54,38,31,32,9,36,6,24,7,"Kvitebjørn er et gasskondensatfelt øst i Tampenområdet i den nordlege delen av Nordsjøen. Feltet er bygget ut med en integrert bosted­, bore­ og prosessinnretning med bunn­fast stålunderstell. Borekaks og produsert vann blir injisert i en egen deponibrønn.",Fixed platform,"Kvitebjorn-1.jpg, Kvitebjorn-2.jpg",,22356,1036101,2377,17237817,,,,4/26/2013 9:55:44,6/8/2012 18:47:57
MARULK,PRODUCING,Eni Norge,1992,2012,122,NOS,370,"4,032,000,000","2,196,710,000","1,835,290,000",Aker Solutions,2012,,,,,Subsea template,,Steel,,FMC,1,2,2,,,,Norne FPSO,30,2,3,"2,800","600,000","3,774,000","434,010,000","7,800,000,000","700,000","8,400,000,000",0,"900,000",,Pipeline,,,Kårstø,Helgelandsbase,,,,Sandnessjøen,14,85,55,102,48,87,30,24,48,"Marulkfeltet(6507) ligger i Norskehavet, cirka 30 km sørvest for Norne. Marulk består av de to formasjonene Lysing og Lange, som begge inneholder gass og kondensat. Det valgte utbyggingskonseptet for Marulk baserer seg kun på produksjon fra Lysing-formasjonen",Subsea template,Marulk-1.jpg,,21788,18212090,1840,2388594,,,,5/13/2013 14:15:07,6/8/2012 18:47:57
MIKKEL,PRODUCING,Statoil,1987,2003,MIKKEL UNIT,NOS,220,"3,124,800,000","2,529,930,000","594,870,000",,,,,,,Subsea template,,Steel,,FMC,2,3,3,,,,Åsgard B,35,3,3,"2,500","3,300,000","20,757,000","2,387,055,000","15,800,000,000","6,600,000","31,400,000,000","2,200,000","8,600,000",NA,Pipeline,Pipeline,NA,Kårstø,Halten Blend,,,,Vestbase AS(Kristiansund),50,93,66,69,21,61,21,10,12,"Mikkel er et gasskondensatfelt som ligger øst i Norske­havet, omtrent 30 km nord for Draugen. Feltet er bygget ut med et havbunnanlegg med to brønnrammer knyttet til Åsgard B.",Subsea template,Mikkel-1.jpg,,1629477,1630514,1024,17237817,,,,4/26/2013 9:55:42,6/8/2012 18:47:57
MORVIN,PRODUCING,Statoil,2001,2010,134 B,NOS,350,"8,971,200,000","8,308,904,000","662,296,000",,,,,,,Subsea template,,Steel,,Aker Solutions,,5,,5,,,Åsgard B,20,2,5,"4,700","5,600,000","35,224,000","4,050,760,000","4,500,000,000","9,300,000","4,500,000,000",0,"1,100,000",Pipeline,Pipeline,,NA,NA,,,,,Vestbase AS(Kristiansund),24,58,63,59,65,49,42,24,42,Morvin ligger omtrent 20 km nord for Kristinfeltet og 15 km vest for Åsgardfeltet. Feltet er bygget ut med to havbunnrammer knyttet til Åsgard B.,Subsea template,"Morvin-1.jpg, Morvin-2.jpg, Morvin-3.jpg",,1025257,4966234,3322,17237817,,,"4,500",4/26/2013 9:55:37,6/8/2012 18:47:57
MURCHISON,PRODUCING,CNR International,1975,1980,MURCHISON UNIT,NS (N),156,"7,761,600,000","7,596,568,000","165,032,000",,,,,,,Fixed platform,PDQ,Steel,,,,0,,,,,,,,,"3,034",0,0,0,0,"13,900,000","400,000,000",0,0,Pipeline,Pipeline,,Sullom Voe (UK),Sullom Voe (UK),,,,,Peterhead(Skottland),58,66,81,47,103,100,94,24,79,"Murchison ligger på begge sider av grenselinjen mellom norsk og britisk kontinentalsokkel, i Tampenområdet, i den nordlege delen av Nordsjøen. Feltet er bygget ut med en kombinert bore-­, bosted-­ og produksjonsinnretning med stålunderstell som står i britisk sektor.",Fixed platform,"Murchison-1.jpg, murchison-2.jpg",,42302,43665,0,2385943,,,"2,997",5/13/2013 14:17:57,6/8/2012 18:47:57
NJORD,PRODUCING,Statoil,1986,1997,NJORD UNIT,NOS,330,"20,160,000,000","18,163,392,000","1,996,608,000",Aibel,2016,Linjebygg AS,,Odfjell Drilling,2016,Semi-submersible,PDQ,Steel,Oil storage (Njord B),Aker Solutions,,15,,15,,,,,8,40,"2,850","3,000,000","18,870,000","2,170,050,000","9,400,000,000","28,500,000","17,200,000,000",0,"3,900,000",Oil tanker,Pipeline,,NA,Kårstø,,HSL,Kvernberget,,Vestbase AS(Kristiansund),31,41,54,31,34,63,27,24,21,"Njord er et oljefelt som ligger i Norskehavet omtrent 30 kilo­meter vest for Draugen. Njord er bygget ut med en halvt nedsenkbar bore­, bosted­ og produksjonsinnretning i stål og et lagerskip, «Njord B». Innretningen er plassert over havbunnkom­pletterte brønner som er knyttet til innretningen med fleksible stigerør",Semi-submersible,"Njord-1.jpg, Njord-2.jpg, Njord-3.jpg, Njord-4.jpg, Njord-5.jpg",,40585,43751,474,17237817,,,,11/25/2013 8:37:14,6/8/2012 18:47:57
NORNE,PRODUCING,Statoil,1992,1997,NORNE INSIDE,NOS,380,"33,163,200,000","28,794,621,000","4,368,579,000",Aibel,2016,Linjebygg AS,,,,FPSO,P,Steel,,FMC,7,31,31,,,,,,4,53,"2,500","3,800,000","23,902,000","2,748,730,000","5,400,000,000","90,800,000","12,000,000,000",0,"1,600,000",Oil tanker,Pipeline,,NA,Kårstø,,HSL,Brønnøysund,,Helgelandsbase AS(sandnessjøen),7,22,40,14,40,57,38,24,33,"Norne er et oljefelt som ligger i Norskehavet omtrent 80 km nord for Heidrun. Feltet er bygget ut med et produksjons­- og lagerskip, «Norne FPSO» som er knyttet til syv brønnrammer på havbunnen. Brønnstrømmen blir ført opp til produk­sjonsskipet gjennom fleksible stigerør.",FPSO,"Norne-1.jpg, Norne-2.jpg, Norne-3.jpg",,40672,43778,1782,17237817,,,,11/25/2013 8:37:16,6/8/2012 18:47:57
ORMEN LANGE,PRODUCING,Norske Shell,1997,2007,ORMEN LANGE UNIT,NOS,1100,"71,769,600,000","38,629,537,000","33,140,063,000",Aker Solutions,2012,Linjebygg Offshore,,,,Subsea template,,Steel,,FMC,3,17,17,,,,,,6,33,"2,900",0,0,0,"207,700,000,000",0,"306,300,000,000","16,700,000",0,-,Pipeline,Pipeline,-,Easington (UK),Great Britain,HSL,Kvernberget,,Vestbase AS(Kristiansund),2,13,6,114,2,100,2,5,79,Ormen Lange er et gassfelt som ligger i Mørebassenget i den sørlige delen av Norskehavet. Feltet blir bygget ut i flere faser med 24 brønner fra tre havbunnrammer.,Subsea template,"Ormen Lange-1.jpg, Ormen Lange-2.jpg, Ormen Lange-3.jpg",,2588637,2762452,3144,562,,,"2,700",6/8/2012 18:48:03,6/8/2012 18:47:57
OSEBERG,PRODUCING,Statoil,1979,1998,OSEBERG AREA UNIT,NS (N),100,"108,460,800,000","98,809,696,000","9,651,104,000",Aibel,2016,BIS Industrier,,KCA Deutag,2016,Fixed platform,PDQ,Steel,Oseberg C,Cameron/Aker Solutions,,9,5,1,,3,,,31,190,"2,700","22,700,000","142,783,000","16,420,045,000","69,200,000,000","384,600,000","104,100,000,000",0,"12,100,000",Pipeline,Pipeline,,Stureterminalen,Kårstø/Emden,-,HSL/BSH,Flesland,HSL,Mongstad,102,7,20,3,8,11,5,24,6,"Oseberg er et oljefelt med en overliggende gasskappe i den nordlege delen av Nordsjøen. Oseberg er bygget ut i flere faser. Feltsenteret i sør har to innretningar; prosess-­ og bostedinnretningen Oseberg A og bore-­ og vanninjeksjonsinnretningen Oseberg B. I den nordlege delen av feltet ligger Oseberg C-­innretningen som er en integrert produksjons-­, bore­- og bostedinnretning (PDQ). Oseberg D er en innretning for gassproses­sering knyttet til Oseberg feltsenter. Oseberg Vestflanke er bygget ut med en havbunnramme som er knyttet til Oseberg B. Oseberg Delta er bygget ut med en havbunnramme knyttet til Oseberg D. Produksjonen fra Gamma Main­strukturen starta i 2008 med to brønner fra Oseberg feltsenter. Innretningene på feltsenteret behandler også olje og gass fra feltene Ose­berg Øst, Oseberg Sør og Tune.",Fixed platform,"Oseberg-1.jpg, Oseberg-2.jpg, Oseberg-3.jpg",,3500071,43625,380,17237817,,,"2,300",11/25/2013 8:37:21,6/8/2012 18:47:57
OSEBERG ØST,PRODUCING,Statoil,1981,1999,OSEBERG AREA UNIT,NS (N),160,"17,740,800,000","10,748,457,000","6,992,343,000",Aibel,2016,BIS Industrier,,KCA Deutag,2016,Fixed platform,PDQ,Steel,,,,0,,,,,,,8,30,"3,100","7,900,000","49,691,000","5,714,465,000","100,000,000","26,700,000","400,000,000",0,"300,000",Pipeline,Not exported*,,Stureterminalen,-,-,BSH,,,Mongstad,57,46,29,33,103,37,84,24,62,"Oseberg Øst er et oljefelt rett øst for Oseberg i den nord­lege delen av Nordsjøen. Feltet er bygget ut med en integrert bunnfast inn­retning med bostedkvarter, boreutstyr og forstestegsseparasjon av olje, vann og gass.",Fixed platform,"Oseberg Ost-1.jpg, Oseberg Ost-2.jpg, Oseberg Ost-3.jpg",,3500071,43639,118,17237817,,,"2,700",11/25/2013 8:37:26,6/8/2012 18:47:57
OSEBERG SØR,PRODUCING,Statoil,1984,2000,OSEBERG AREA UNIT,NS (N),100,"26,812,800,000","23,655,969,000","3,156,831,000",Aibel,2016,BIS Industrier,,KCA Deutag,2016,Fixed platform,PDQ,Steel,,Aker Solutions,,10,6,4,,,,,17,81,"2,800","17,200,000","108,188,000","12,441,620,000","8,000,000,000","61,000,000","16,000,000,000",0,"1,600,000",Pipeline,Pipeline,-,Stureterminalen,Kårstø/Emden,-,BSH,,,Mongstad,102,30,47,19,35,19,28,24,33,"Oseberg Sør er et oljefelt rett sør for Oseberg, i den nord­lege delen av Nordsjøen. Feltet er bygget ut med en integrert stålinnretning med bostedkvarter, boremodul og forstestegsseparasjon av olje og gass. I tillegg blir flere strukturer på feltet produsert fra havbunnrammer som er knyttet til Oseberg Sør­inn­retningen. Ferdigprosessering av olje og gass foregår på Oseberg feltsenter.",Fixed platform,"Oseberg Soer-1.jpg, Oseberg Soer-2.jpg, Oseberg Soer-3.jpg",,3500071,43645,55,17237817,,,"2,200",11/25/2013 8:37:30,6/8/2012 18:47:57
OSELVAR,PRODUCING,Dong E&P Norge,1991,2012,274,NS (S),70,"4,737,600,000","3,596,026,000","1,141,574,000",,,,,,,Subsea template,,Steel,,Aker Solutions,,3,,3,,,Ula-field,24,4,3,"3,250","4,500,000","28,305,000","3,255,075,000","3,900,000,000","4,600,000","3,900,000,000",0,0,Pipeline,Pipeline,,Ekofisk(export),,,,,,,123,75,58,78,69,53,43,24,79,"Oselvar-feltet ligger sør i den norske delen av Nordsjøen, i nærheten av produserende oljefelt som Ula, Gyda og Blane. Feltet bygges ut med tre produksjonsbrønner som bores fra en firedelt undersjøisk brønnramme, med tilknytting via en flerfaset rørledning til Ula-plattformen for prosessering.",Subsea template,Oselvar-1.jpg,,2060266,5506919,1521,4070011,,,"2,900",12/19/2012 9:33:30,6/8/2012 18:47:57
REV,PRODUCING,Talisman North Sea,2001,2009,038 C,NS (M),110,"4,233,600,000","4,167,140,000","66,460,000",Aker Solutions,2014,Sørco,,,,Subsea template,,Steel,3 x gas production wells,,,3,3,,,,Armada-field (UK),9.5,7,4,"3,000",0,0,0,0,"700,000","2,700,000,000",0,"100,000",Pipeline,Pipeline,,GB,GB,,,,,,90,83,93,102,72,100,94,24,73,"Rev er et gasskondensatfelt som ligger nær grenselinjen mel­lom norsk og britisk sektor, 4 km sør for Vargfeltet. Feltet er bygget ut med et havbunnanlegg med tre gassproduksjonsbrønner knyttet til Armadafeltet på britisk kontinentalsokkel.",Subsea template,"Rev-1.jpg, Rev-2.jpg, Rev-3.jpg",,4005057,4467554,3391,2425093,,,,4/19/2013 10:17:59,6/8/2012 18:47:57
